"","OR","2.5 %","97.5 %"
"(Intercept)",0.111771772252707,0.0381209635664263,0.325018753443594
"lipids2",1.38144666318005,1.14720281393294,1.66143134254896
"hormone1",0.824657996422264,0.671381287391135,0.979266817349296
"hormone2",1.00048200507257,0.999828522470532,1.00109811903331
"hormone5",0.999495737872393,0.998639531690824,1.00012698358093
"hormone8",0.995571052971994,0.992860220094253,0.998116488978811
