"var1","var2","spearman_corr","p_value"
"hormone2","сarb_metabolism",-0.0558313205693937,0.066
"hormone4","lipids4",0.0556591367984232,0.064
"factor_h","lipids5",-0.0554990827788223,0.098
"hormone1","lipids1",-0.0554130468937521,0.096
"hormone1","сarb_metabolism",-0.0550183095424261,0.056
"factor_prl","lipid_pero3",0.0540435699700812,0.066
"hormone7","antioxidant5",-0.0540037575229092,0.076
"hormone8","lipid_pero5",0.053715309983444,0.04
"lipids4","lipid_pero1",0.0536478541823384,0.068
"hormone1","hormone7",0.0531215654277954,0.08
"factor_h","lipid_pero4",-0.0529200587473992,0.09
"lipids3","lipid_pero4",-0.0527737635814189,0.082
"hormone7","antioxidant3",0.0524417877576076,0.056
"hormone3","hormone10_generated",0.0524394619688114,0.066
"factor_eth","lipids5",0.0514789539193456,0.136
"antioxidant1","antioxidant4",0.0513087104009247,0.09
"lipid_pero1","lipid_pero5",-0.0507006783742649,0.084
"lipids3","lipid_pero3",0.0504349824251264,0.076
"factor_pcos","hormone2",-0.0499987952954288,0.528
"hormone4","hormone5",0.0497662579393777,0.114
"factor_eth","hormone5",-0.0490193659408473,0.106
"lipids5","antioxidant4",0.0489940856094975,0.15
"hormone10_generated","сarb_metabolism",-0.0488321726723955,0.114
"hormone1","lipid_pero3",-0.0488313756676293,0.09
"hormone4","сarb_metabolism",-0.0487170783753551,0.098
"hormone2","lipid_pero2",0.0485918911158224,0.12
"factor_prl","сarb_metabolism",-0.0484900862067648,0.108
"lipids1","lipid_pero4",0.0483981789104572,0.116
"factor_pcos","lipid_pero2",-0.048369277601083,0.524
"hormone2","lipid_pero4",0.0482331765235864,0.092
"hormone1","hormone6",-0.0477087352119208,0.116
"hormone4","lipids3",0.0475733725778406,0.112
"hormone1","lipid_pero1",-0.0475549810491058,0.128
"hormone3","lipid_pero4",0.0470228613355535,0.11
"factor_h","lipids2",-0.0469882605493894,0.102
"factor_eth","hormone10_generated",0.0468885383872031,0.108
"factor_prl","lipids3",0.0465359773025529,0.112
